CustomerID,Hostname,IPAddress,OS,HostGroup,Status,InventoryID,Description,Tags
ge_vernova,RNWsaSCNTianj11,10.189.193.222,Cisco,Network,Live,2,10.189.193.222,
ge_vernova,RNWsaSCNTianj02,10.189.193.213,Cisco,Network,Live,2,10.189.193.213,
